report_section,report_title,campaign_id,candidate_pool,sent,control_holdout,suppressed_total,reconciliation_gap,supp_no_consent,supp_opted_out,supp_frequency_cap,supp_recent_purchase,supp_not_yet_signed_up,sent_pct,suppressed_pct
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,14,2800,158,23,2619,0,587,22,518,0,1492,5.6,93.5
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,26,2800,201,15,2584,0,656,27,597,0,1304,7.2,92.3
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,4,3200,259,32,2909,0,131,16,815,0,1947,8.1,90.9
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,50,2800,237,32,2531,0,791,36,734,0,970,8.5,90.4
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,54,2800,246,36,2518,0,854,30,752,0,882,8.8,89.9
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,8,3200,289,32,2879,0,129,18,863,0,1869,9.0,90.0
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,20,3200,295,36,2869,0,138,26,1015,0,1690,9.2,89.7
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,12,3200,299,36,2865,0,121,22,923,0,1799,9.3,89.5
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,66,2800,261,33,2506,0,915,44,818,8,721,9.3,89.5
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,2,2800,272,22,2506,0,517,16,247,8,1718,9.7,89.5
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,22,2800,273,28,2499,0,623,26,494,6,1350,9.8,89.3
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,82,2800,294,28,2478,0,1031,59,916,6,466,10.5,88.5
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,23,3600,405,37,3158,0,196,32,1171,0,1759,11.3,87.7
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,36,3200,366,35,2799,0,192,26,1244,0,1337,11.4,87.5
2.1,WHERE IS THE CANDIDATE AUDIENCE BEING LOST BEFORE SEND?,32,3200,367,41,2792,0,178,31,1170,0,1413,11.5,87.3
