campaign_id,campaign_name,channel,start_date,end_date,cost,campaign_status
1,Retention - Email - Jan 2024,Email,2024-01-01,2024-01-08,422.03,Completed
2,Acquisition - SMS - Jan 2024,SMS,2024-01-01,2024-01-11,737.63,Completed
3,Acquisition - Paid Social - Jan 2024,Paid Social,2024-01-01,2024-01-09,6206.18,Completed
4,Winback - Display - Jan 2024,Display,2024-01-01,2024-01-08,4256.0,Completed
5,Retention - Email - Jan 2024,Email,2024-01-22,2024-01-28,448.39,Completed
6,Winback - SMS - Jan 2024,SMS,2024-01-22,2024-01-31,860.93,Completed
7,Acquisition - Paid Social - Jan 2024,Paid Social,2024-01-22,2024-01-27,6896.76,Completed
8,Retention - Display - Jan 2024,Display,2024-01-22,2024-02-01,3319.15,Completed
9,Cross-sell - Email - Feb 2024,Email,2024-02-12,2024-02-23,477.07,Completed
10,Winback - SMS - Feb 2024,SMS,2024-02-12,2024-02-25,1259.18,Completed
11,Acquisition - Paid Social - Feb 2024,Paid Social,2024-02-12,2024-02-26,6865.69,Completed
12,Cross-sell - Display - Feb 2024,Display,2024-02-12,2024-02-18,4968.0,Completed
13,Cross-sell - Email - Mar 2024,Email,2024-03-04,2024-03-09,517.01,Completed
14,Retention - SMS - Mar 2024,SMS,2024-03-04,2024-03-18,1074.89,Completed
15,Winback - Paid Social - Mar 2024,Paid Social,2024-03-04,2024-03-13,4797.33,Completed
16,Acquisition - Display - Mar 2024,Display,2024-03-04,2024-03-13,3190.12,Completed
17,Retention - Email - Mar 2024,Email,2024-03-25,2024-04-02,308.6,Completed
18,Winback - SMS - Mar 2024,SMS,2024-03-25,2024-04-02,1022.49,Completed
19,Retention - Paid Social - Mar 2024,Paid Social,2024-03-25,2024-04-07,5956.74,Completed
20,Retention - Display - Mar 2024,Display,2024-03-25,2024-04-08,5924.59,Completed
21,Cross-sell - Email - Apr 2024,Email,2024-04-15,2024-04-26,423.82,Completed
22,Acquisition - SMS - Apr 2024,SMS,2024-04-15,2024-04-25,645.05,Completed
23,Cross-sell - Paid Social - Apr 2024,Paid Social,2024-04-15,2024-04-29,8009.73,Completed
24,Retention - Display - Apr 2024,Display,2024-04-15,2024-04-23,3998.03,Completed
25,Acquisition - Email - May 2024,Email,2024-05-06,2024-05-16,556.22,Completed
26,Winback - SMS - May 2024,SMS,2024-05-06,2024-05-15,936.05,Completed
27,Acquisition - Paid Social - May 2024,Paid Social,2024-05-06,2024-05-14,4927.47,Completed
28,Retention - Display - May 2024,Display,2024-05-06,2024-05-15,3666.76,Completed
