report_section,report_title,customer_id,sends_60d,campaigns_30d,last_send_date,contact_pressure_status
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,8,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,10,2,2,2025-07-21,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,11,2,2,2025-07-24,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,17,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,21,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,23,2,2,2025-07-21,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,28,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,32,2,2,2025-07-21,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,34,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,35,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,45,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,50,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,52,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,62,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,68,2,2,2025-07-21,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,69,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,75,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,86,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,90,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,91,2,2,2025-07-21,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,95,2,2,2025-07-21,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,97,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,112,2,2,2025-07-22,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,117,2,2,2025-07-23,Within review threshold
2.4,WHICH CUSTOMERS MAY BE EXPERIENCING EXCESSIVE CONTACT PRESSURE?,123,2,2,2025-07-24,Within review threshold
