report_section,report_title,customer_id,review_group,review_reason,lifetime_sends,sends_30d,monetary,recency_days,frequency,acquisition_channel,region
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,1962,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,298.24,10,3,Paid Social,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2956,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,289.06,9,2,Organic Search,Hamilton
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3361,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,202.08,16,2,Referral,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2046,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,165.57,2,2,Paid Social,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,3712,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,155.84,6,3,Paid Search,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,763,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,151.24,1,2,Organic Search,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,4135,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,147.86,6,3,Organic Search,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,1088,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,134.14,27,2,Referral,Auckland
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5436,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,124.6,3,2,Paid Search,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2755,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,119.28,18,2,Paid Social,Wellington
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,7143,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,111.18,4,2,Paid Social,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,1336,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,108.09,5,4,Paid Social,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5140,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,107.17,2,2,Paid Social,Wellington
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,5285,Potential opportunity - eligibility review,No preliminary Email restriction,0,0,97.55,7,2,Paid Social,Christchurch
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,2039,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,342.4,3,3,Paid Social,Other NZ
4.1,VALUABLE CUSTOMERS: OPPORTUNITITES VS SUPPRESSED,6453,Potential opportunity - eligibility review,No preliminary Email restriction,1,0,253.23,17,2,Paid Social,Other NZ
