campaign_month,channel,campaigns_started,spend
2024-01,Display,2,7575.15
2024-01,Email,2,870.42
2024-01,Paid Social,2,13102.94
2024-01,SMS,2,1598.56
2024-02,Display,1,4968.0
2024-02,Email,1,477.07
2024-02,Paid Social,1,6865.69
2024-02,SMS,1,1259.18
2024-03,Display,2,9114.71
2024-03,Email,2,825.61
2024-03,Paid Social,2,10754.07
2024-03,SMS,2,2097.38
2024-04,Display,1,3998.03
2024-04,Email,1,423.82
2024-04,Paid Social,1,8009.73
2024-04,SMS,1,645.05
2024-05,Display,2,9900.5
2024-05,Email,2,1041.28
2024-05,Paid Social,2,10383.19
2024-05,SMS,2,1726.8
2024-06,Display,1,3166.44
2024-06,Email,1,289.39
2024-06,Paid Social,1,5603.95
2024-06,SMS,1,944.98
2024-07,Display,2,9219.51
2024-07,Email,2,799.33
2024-07,Paid Social,2,14233.09
2024-07,SMS,2,2324.92
2024-08,Display,1,5527.3
2024-08,Email,1,436.8
2024-08,Paid Social,1,5241.83
2024-08,SMS,1,786.41
2024-09,Display,2,10252.93
2024-09,Email,2,922.5
2024-09,Paid Social,2,9636.63
2024-09,SMS,2,1670.37
2024-10,Display,1,4981.47
2024-10,Email,1,538.85
2024-10,Paid Social,1,7522.52
2024-10,SMS,1,1077.49
2024-11,Display,1,4271.42
2024-11,Email,1,304.2
2024-11,Paid Social,1,5865.12
2024-11,SMS,1,1014.31
2024-12,Display,2,9941.2
2024-12,Email,2,887.27
2024-12,Paid Social,2,15376.04
2024-12,SMS,2,1870.42
2025-01,Display,1,4876.79
2025-01,Email,1,483.81
2025-01,Paid Social,1,6898.85
2025-01,SMS,1,858.37
2025-02,Display,2,8791.27
2025-02,Email,2,854.72
2025-02,Paid Social,2,13805.87
2025-02,SMS,2,1992.45
2025-03,Display,1,5828.74
2025-03,Email,1,434.79
2025-03,Paid Social,1,5798.43
2025-03,SMS,1,782.85
2025-04,Display,2,9724.23
2025-04,Email,2,942.7
2025-04,Paid Social,2,12663.82
2025-04,SMS,2,2179.86
2025-05,Display,1,5163.25
2025-05,Email,1,399.19
2025-05,Paid Social,1,8296.37
2025-05,SMS,1,647.86
2025-06,Display,2,8112.64
2025-06,Email,2,716.9
2025-06,Paid Social,2,13304.43
2025-06,SMS,2,1721.44
2025-07,Display,1,4835.2
2025-07,Email,1,467.83
2025-07,Paid Social,1,4880.62
2025-07,SMS,1,1257.16
