report_section,report_title,campaign_month,campaigns_started,spend,campaign_orders,campaign_tagged_revenue,roas,cost_per_order,roas_change_vs_previous_month,trend_direction
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-01,8,23147.07,119,7623.02,0.33,194.51,,No prior month
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-02,4,13569.94,78,6301.26,0.46,173.97,0.14,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-03,8,22791.77,117,7971.66,0.35,194.8,-0.11,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-04,4,13076.63,51,3933.33,0.3,256.4,-0.05,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-05,8,23051.77,95,5976.74,0.26,242.65,-0.04,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-06,4,10004.76,75,4520.84,0.45,133.4,0.19,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-07,8,26576.85,161,10153.61,0.38,165.07,-0.07,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-08,4,11992.34,71,4350.5,0.36,168.91,-0.02,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-09,8,22482.43,148,11413.09,0.51,151.91,0.14,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-10,4,14120.33,113,8917.34,0.63,124.96,0.12,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-11,4,11455.05,122,8047.41,0.7,93.89,0.07,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2024-12,8,28074.93,201,13325.9,0.47,139.68,-0.23,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-01,4,13117.82,109,5127.68,0.39,120.35,-0.08,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-02,8,25444.31,184,11870.81,0.47,138.28,0.08,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-03,4,12844.81,164,9796.52,0.76,78.32,0.3,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-04,8,25510.61,300,19069.19,0.75,85.04,-0.02,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-05,4,14506.67,78,4725.63,0.33,185.98,-0.42,Declined
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-06,8,23855.41,273,16454.76,0.69,87.38,0.36,Improved
3.4,IS CAMPAIGN PERFORMANCE IMPROVING OR DETERIORATING OVER TIME?,2025-07,4,11440.81,134,9007.23,0.79,85.38,0.1,Improved
